Decreas Daily Rides,Increase Daily Rides,bike_number
18.586658476352962,1.0471461814345004,1
18.34785798050662,10.471461814345005,10
18.082524096232913,20.94292362869001,20
17.8171902119592,31.414385443035012,30
17.28652244341178,52.35730907172502,50
17.021188559138068,62.828770886070025,60
16.755854674864356,73.30023270041504,70
16.490520790590644,83.77169451476004,80
16.225186906316935,94.24315632910503,90
15.959853022043223,104.71461814345004,100
15.694519137769513,115.18607995779504,110
15.429185253495802,125.65754177214005,120
14.63318360067467,125.65754177214005,150
